dep,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
11,0.00645682001614205,0.014527845036319613,0.020984665052461663,0.020984665052461663,0.021791767554479417,0.029055690072639227,0.026634382566585957,0.02986279257465698,0.03066989507667474,0.03631961259079903,0.047619047619047616,0.05488297013720742,0.058918482647296204,0.06053268765133172,0.0645682001614205,0.08151735270379339,0.07990314769975787,0.08232445520581114,0.07667473769168684,0.06133979015334948,0.06537530266343826,0.058918482647296204,0.05569007263922518,0.05084745762711865,0.053268765133171914,0.06537530266343826,0.07344632768361582,0.06941081517352704,0.062146892655367235
12,0.008433734939759036,0.010843373493975903,0.014457831325301205,0.01325301204819277,0.01566265060240964,0.016867469879518072,0.02289156626506024,0.020481927710843374,0.02650602409638554,0.02891566265060241,0.03975903614457831,0.04096385542168675,0.04819277108433735,0.051807228915662654,0.05542168674698795,0.06265060240963856,0.07228915662650602,0.06987951807228916,0.06746987951807229,0.07108433734939759,0.06626506024096386,0.06265060240963856,0.06265060240963856,0.060240963855421686,0.06626506024096386,0.06746987951807229,0.06867469879518072,0.06746987951807229,0.06626506024096386
13,0.009919028340080972,0.012955465587044534,0.017611336032388663,0.020546558704453443,0.025,0.03147773279352227,0.03734817813765182,0.03805668016194332,0.043927125506072875,0.05313765182186235,0.06082995951417004,0.07135627530364372,0.08208502024291497,0.08724696356275304,0.08977732793522267,0.09574898785425101,0.1034412955465587,0.10526315789473684,0.11082995951417005,0.11831983805668016,0.10870445344129555,0.11204453441295546,0.10576923076923077,0.11022267206477733,0.1076923076923077,0.11467611336032389,0.11609311740890688,0.11558704453441296,0.11751012145748987
14,0.001265022137887413,0.001265022137887413,0.001265022137887413,0.0018975332068311196,0.003478810879190386,0.008222643896268185,0.009171410499683744,0.01454775458570525,0.016129032258064516,0.019924098671726755,0.025616698292220113,0.029411764705882353,0.03004427577482606,0.030360531309297913,0.03510436432637571,0.03984819734345351,0.041429475015812775,0.041113219481340925,0.04490828589500316,0.046173308032890575,0.04775458570524984,0.04933586337760911,0.04965211891208096,0.05218216318785579,0.05249841872232764,0.051233396584440226,0.04933586337760911,0.0480708412397217,0.0480708412397217
15,0.002531645569620253,0.0037974683544303796,0.005063291139240506,0.006329113924050633,0.006329113924050633,0.006329113924050633,0.008860759493670886,0.008860759493670886,0.007594936708860759,0.008860759493670886,0.010126582278481013,0.010126582278481013,0.012658227848101266,0.015189873417721518,0.015189873417721518,0.026582278481012658,0.030379746835443037,0.03164556962025317,0.03291139240506329,0.035443037974683546,0.03291139240506329,0.03291139240506329,0.03417721518987342,0.03417721518987342,0.03417721518987342,0.035443037974683546,0.03670886075949367,0.03670886075949367,0.035443037974683546
16,0.000851063829787234,0.0,0.000851063829787234,0.002553191489361702,0.00425531914893617,0.005106382978723404,0.011063829787234043,0.015319148936170212,0.016170212765957447,0.02297872340425532,0.01957446808510638,0.02553191489361702,0.029787234042553193,0.011914893617021277,0.01446808510638298,0.016170212765957447,0.015319148936170212,0.01446808510638298,0.01446808510638298,0.01276595744680851,0.010212765957446808,0.009361702127659575,0.009361702127659575,0.00851063829787234,0.011063829787234043,0.011914893617021277,0.011914893617021277,0.011914893617021277,0.011063829787234043
17,0.00228310502283105,0.0031963470319634705,0.00410958904109589,0.00502283105022831,0.005479452054794521,0.005936073059360731,0.011872146118721462,0.011872146118721462,0.01643835616438356,0.01643835616438356,0.01872146118721461,0.021004566210045664,0.027853881278538814,0.025570776255707764,0.02968036529680365,0.030136986301369864,0.033789954337899546,0.036073059360730596,0.036073059360730596,0.036986301369863014,0.040639269406392696,0.041552511415525115,0.0365296803652968,0.03561643835616438,0.036073059360730596,0.039269406392694065,0.03881278538812785,0.042922374429223746,0.03744292237442922
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0018744142455482662,0.006560449859418931,0.008434864104967198,0.011246485473289597,0.01499531396438613,0.016869728209934397,0.02999062792877226,0.03561387066541706,0.03748828491096532,0.03561387066541706,0.04029990627928772,0.044048734770384255,0.04592314901593252,0.05154639175257732,0.05060918462980318,0.04779756326148079,0.056232427366447985,0.061855670103092786,0.061855670103092786,0.06373008434864105,0.06747891283973759,0.06747891283973759,0.06935332708528585
19,0.0,0.0008532423208191126,0.0008532423208191126,0.0008532423208191126,0.0034129692832764505,0.005119453924914676,0.010238907849829351,0.012798634812286689,0.013651877133105802,0.013651877133105802,0.024744027303754267,0.027303754266211604,0.031569965870307165,0.032423208191126277,0.033276450511945395,0.032423208191126277,0.03583617747440273,0.03668941979522184,0.03583617747440273,0.03754266211604096,0.03498293515358362,0.03668941979522184,0.03754266211604096,0.033276450511945395,0.03924914675767918,0.040955631399317405,0.043515358361774746,0.04522184300341297,0.04607508532423208
21,0.022953328232593728,0.020275439938791124,0.03136954858454476,0.030221882172915073,0.0386381025248661,0.04322876817138485,0.04361132364192808,0.058530986993114,0.06235654169854629,0.06503442999234889,0.0772762050497322,0.08339709257842387,0.08071920428462127,0.06350420811017597,0.07268553940321347,0.0772762050497322,0.0811017597551645,0.09755164498852334,0.09908186687069626,0.10864575363427698,0.11744452945677124,0.11859219586840092,0.11094108645753634,0.13389441469013008,0.12433052792654935,0.1315990818668707,0.13006885998469778,0.13236419280795717,0.13810252486610558
22,0.0004861448711716091,0.0009722897423432182,0.0024307243558580457,0.003403014098201264,0.003403014098201264,0.004375303840544483,0.0053475935828877,0.007292173067574137,0.0106951871657754,0.015556635877491492,0.01652892561983471,0.01750121536217793,0.018959649975692758,0.018959649975692758,0.022848808945065628,0.02868254739912494,0.03159941662615459,0.030140982012639768,0.03403014098201264,0.036460865337870685,0.03354399611084103,0.03208556149732621,0.031113271754982984,0.03403014098201264,0.03354399611084103,0.03548857559552747,0.03597472046669908,0.0374331550802139,0.036460865337870685
23,0.0,0.0,0.0,0.0020920502092050207,0.0020920502092050207,0.0041841004184100415,0.0041841004184100415,0.008368200836820083,0.008368200836820083,0.012552301255230125,0.012552301255230125,0.012552301255230125,0.016736401673640166,0.01882845188284519,0.02301255230125523,0.02301255230125523,0.02301255230125523,0.02510460251046025,0.02510460251046025,0.02301255230125523,0.027196652719665274,0.058577405857740586,0.060669456066945605,0.060669456066945605,0.06485355648535565,0.06903765690376569,0.07112970711297072,0.06694560669456066,0.06276150627615062
24,0.0016286644951140066,0.0016286644951140066,0.0024429967426710096,0.003257328990228013,0.004885993485342019,0.016286644951140065,0.019543973941368076,0.023615635179153095,0.02687296416938111,0.033387622149837134,0.008957654723127036,0.008957654723127036,0.008957654723127036,0.008143322475570033,0.010586319218241042,0.012214983713355049,0.016286644951140065,0.02035830618892508,0.021172638436482084,0.02280130293159609,0.021172638436482084,0.018729641693811076,0.017915309446254073,0.021172638436482084,0.019543973941368076,0.021172638436482084,0.025244299674267102,0.023615635179153095,0.02687296416938111
25,0.013091641490433032,0.01661631419939577,0.0216515609264854,0.02416918429003021,0.03172205438066465,0.03272910372608258,0.04028197381671702,0.04229607250755287,0.04229607250755287,0.050352467270896276,0.04582074521651561,0.07452165156092648,0.07653575025176233,0.07452165156092648,0.081067472306143,0.09365558912386707,0.08710976837865056,0.08811681772406849,0.09214501510574018,0.09214501510574018,0.0986908358509567,0.10020140986908359,0.10020140986908359,0.09566968781470292,0.09365558912386707,0.10725075528700906,0.1067472306143001,0.11782477341389729,0.11581067472306143
26,0.009653605905735378,0.018171493469619535,0.021578648495173196,0.02441794434980125,0.02612152186257808,0.032935831913685404,0.0380465644520159,0.05110732538330494,0.06587166382737081,0.07325383304940375,0.09369676320272573,0.10391822827938671,0.11868256672345258,0.12152186257808063,0.1362862010221465,0.13003975014196478,0.1419647927314026,0.14423622941510506,0.14253265190232822,0.14764338444065872,0.13855763770584895,0.14026121521862578,0.1368540601930721,0.1306076093128904,0.12890403180011356,0.13401476433844406,0.13287904599659284,0.12833617262918795,0.11754684838160136
27,0.0,0.0008006405124099279,0.0032025620496397116,0.005604483586869495,0.009607686148919135,0.01200960768614892,0.01200960768614892,0.017614091273018415,0.02802241793434748,0.029623698959167333,0.029623698959167333,0.029623698959167333,0.03122497998398719,0.0344275420336269,0.0344275420336269,0.04323458767013611,0.05044035228182546,0.055244195356285025,0.0544435548438751,0.053642914331465175,0.05284227381905524,0.040032025620496396,0.053642914331465175,0.06965572457966374,0.07526020816653323,0.07526020816653323,0.07365892714171338,0.06805444355484387,0.0632506004803843
28,0.003457814661134163,0.007607192254495159,0.008298755186721992,0.008990318118948824,0.01037344398340249,0.02351313969571231,0.028354080221300138,0.034578146611341634,0.040110650069156296,0.04702627939142462,0.050484094052558784,0.0677731673582296,0.07883817427385892,0.08367911479944674,0.08367911479944674,0.10096818810511757,0.10442600276625173,0.11203319502074689,0.12033195020746888,0.11479944674965421,0.11825726141078838,0.12240663900414937,0.12863070539419086,0.13692946058091288,0.1396957123098202,0.15145228215767634,0.16044260027662519,0.1632088520055325,0.1673582295988935
29,0.003549003549003549,0.004641004641004641,0.00546000546000546,0.00546000546000546,0.005187005187005187,0.006006006006006006,0.006006006006006006,0.009009009009009009,0.011193011193011193,0.011193011193011193,0.013104013104013105,0.01365001365001365,0.014742014742014743,0.013377013377013377,0.015288015288015287,0.018018018018018018,0.020202020202020204,0.021567021567021567,0.022386022386022386,0.025389025389025387,0.02566202566202566,0.027846027846027847,0.029757029757029756,0.03003003003003003,0.03166803166803167,0.03357903357903358,0.03303303303303303,0.03276003276003276,0.03139503139503139
2A,0.0,0.0019011406844106464,0.11406844106463879,0.11787072243346007,0.11026615969581749,0.11216730038022814,0.11977186311787072,0.14068441064638784,0.16730038022813687,0.1806083650190114,0.1920152091254753,0.17300380228136883,0.17490494296577946,0.16920152091254753,0.16730038022813687,0.14068441064638784,0.13688212927756654,0.1520912547528517,0.1482889733840304,0.1444866920152091,0.15019011406844107,0.15399239543726237,0.1482889733840304,0.13688212927756654,0.13307984790874525,0.13307984790874525,0.13498098859315588,0.13498098859315588,0.1311787072243346
2B,0.0,0.0,0.009419152276295133,0.009419152276295133,0.009419152276295133,0.009419152276295133,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.015698587127158554,0.012558869701726845,0.018838304552590265,0.02511773940345369,0.026687598116169546,0.026687598116169546,0.02511773940345369,0.023547880690737835,0.0141287284144427,0.015698587127158554,0.009419152276295133,0.009419152276295133,0.006279434850863423,0.006279434850863423,0.004709576138147566,0.02197802197802198
30,0.002035830618892508,0.0016286644951140066,0.003257328990228013,0.0028501628664495114,0.005293159609120521,0.0061074918566775245,0.005700325732899023,0.007736156351791531,0.006921824104234527,0.01017915309446254,0.014657980456026058,0.015879478827361564,0.017915309446254073,0.02239413680781759,0.03013029315960912,0.03013029315960912,0.028501628664495113,0.02687296416938111,0.03623778501628665,0.04315960912052117,0.04478827361563518,0.04234527687296417,0.04315960912052117,0.043973941368078175,0.039495114006514655,0.03868078175895766,0.03745928338762215,0.039495114006514655,0.04275244299674267
31,0.004071517082669499,0.004602584528235086,0.006195786864931847,0.009028146574614976,0.009736236502035759,0.012568596211718889,0.01575500088511241,0.019118428040361127,0.024783147459727387,0.027615507169410514,0.028854664542396883,0.032749159143211186,0.03788281111701186,0.038767923526287836,0.038236856080722255,0.03788281111701186,0.04000708089927421,0.040184103381129405,0.04000708089927421,0.04160028323597097,0.04071517082669499,0.04053814834483979,0.04372455301823332,0.044255620463798905,0.04230837316339175,0.04319348557266773,0.043016463090812536,0.043016463090812536,0.03929899097185342
32,0.002066115702479339,0.006198347107438017,0.006198347107438017,0.008264462809917356,0.008264462809917356,0.010330578512396695,0.01652892561983471,0.022727272727272728,0.02066115702479339,0.030991735537190084,0.03305785123966942,0.04132231404958678,0.03925619834710744,0.03925619834710744,0.05165289256198347,0.05578512396694215,0.05578512396694215,0.05578512396694215,0.05991735537190083,0.05785123966942149,0.05371900826446281,0.05991735537190083,0.05785123966942149,0.05165289256198347,0.047520661157024795,0.05785123966942149,0.0640495867768595,0.06611570247933884,0.0640495867768595
33,0.0009794319294809011,0.0009794319294809011,0.0013991884706870015,0.005456835035679306,0.007555617741709809,0.00951448160067161,0.013851965859801316,0.020148313977892823,0.023226528613404226,0.02854344480201483,0.030222470966839235,0.033160766755281935,0.04029662795578565,0.041975654120610044,0.04141597873233525,0.041695816426472646,0.043514761438365746,0.04267524835595355,0.04267524835595355,0.04365468028543445,0.04407443682664055,0.040576465649923045,0.039457114873373444,0.03931719602630474,0.043095004897159644,0.04183573527354135,0.043514761438365746,0.04435427452077795,0.04253532950888485
34,0.007167764432390546,0.009492444788841535,0.011817125145292522,0.012592018597442852,0.012785741960480435,0.01588531576908175,0.019178612940720652,0.026152654010073616,0.029445951181712515,0.034289035257652076,0.03913211933359163,0.045331266950794265,0.046881053855094924,0.04571871367686943,0.046106160402944595,0.04746222394420767,0.05114296784192174,0.04881828748547075,0.04978690430065866,0.05133669120495932,0.049205734211545914,0.04649360712901976,0.04339403332041844,0.04106935296396746,0.03583882216195273,0.03545137543587756,0.038357225881441304,0.03719488570321581,0.03467648198372724
