dep,01-04-2020,01-05-2020,02-04-2020,02-05-2020,03-04-2020,03-05-2020,04-04-2020,04-05-2020,05-04-2020,05-05-2020,06-04-2020,06-05-2020,07-04-2020,07-05-2020,08-04-2020,08-05-2020,09-04-2020,09-05-2020,10-04-2020,10-05-2020,11-04-2020,11-05-2020,12-04-2020,12-05-2020,13-04-2020,13-05-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-03-2020,18-04-2020,19-03-2020,19-04-2020,20-03-2020,20-04-2020,21-03-2020,21-04-2020,22-03-2020,22-04-2020,23-03-2020,23-04-2020,24-03-2020,24-04-2020,25-03-2020,25-04-2020,26-03-2020,26-04-2020,27-03-2020,27-04-2020,28-03-2020,28-04-2020,29-03-2020,29-04-2020,30-03-2020,30-04-2020,31-03-2020
11,0.21634591940207654,0.12150764719443564,0.2589181490595687,0.12150764719443564,0.25503876210417425,0.13197938976198534,0.26084492454429953,0.10805259083131613,0.24717445519186826,0.09698011138314253,0.20774148774205348,0.07098398551738819,0.2184706520251316,0.06498948756054171,0.20117440976205472,0.06799707909511113,0.19226092126782107,0.06498948756054171,0.1785379950027686,0.06498948756054171,0.1854536583609541,0.06498948756054171,0.2184706520251316,0.05583968673329301,0.2391651091153799,0.07395048941419301,0.22894113220633705,0.2099086303721857,0.20117440976205472,0.196740532741558,0.02717348917030184,0.19000366835940807,0.058911089081410524,0.194506502702642,0.08273032647221601,0.18316065154577016,0.08273032647221601,0.19226092126782107,0.08561793339952639,0.1877346220176033,0.1107771573701712,0.1738656047831096,0.10255163721087326,0.1738656047831096,0.11348473772296608,0.16436726048375025,0.11617554237731033,0.15953903419130952,0.13455834319494522,0.15710464170786162,0.16914239910035345,0.14472368689785914,0.19000366835940807,0.14971850310261306,0.20117440976205472,0.1107771573701712,0.20556347674837214
12,0.19151161792317506,0.13400035110734584,0.21125567611893226,0.1183484055645497,0.23625794508898795,0.1183484055645497,0.23014102027930602,0.1183484055645497,0.2239367078780212,0.1062277728886963,0.23321025200698256,0.11030568530913576,0.22080099402516265,0.11030568530913576,0.21125567611893226,0.11030568530913576,0.21125567611893226,0.1062277728886963,0.20477354859101188,0.1062277728886963,0.22080099402516265,0.1062277728886963,0.2239367078780212,0.10211120669386416,0.22704994330216416,0.1062277728886963,0.2239367078780212,0.22080099402516265,0.22080099402516265,0.23014102027930602,0.03516441706325095,0.2511836230188835,0.04470973496948137,0.2482392423721022,0.058645512912773874,0.2570131666796073,0.054049761223624704,0.2511836230188835,0.06319314066349449,0.24228990985890095,0.06769364189017091,0.23321025200698256,0.08952207938584364,0.19151161792317506,0.08092190762392605,0.18813187727179448,0.10211120669386416,0.18813187727179448,0.11030568530913576,0.18813187727179448,0.1453798968508446,0.17783192063198253,0.14910776937008774,0.16728173829867435,0.17082701906332404,0.15280391493005147,0.181292452741489
13,0.2782443274761095,0.2830813884144194,0.2916995251593548,0.28741183371701345,0.3084391128328608,0.2885442841159215,0.3123110060736702,0.2823936693761686,0.3239323253601178,0.266743828610652,0.3390932005149169,0.26507575447585546,0.3195317163598696,0.25736760791801616,0.3264270827146859,0.2544414128034848,0.31338043405041044,0.25395179101328963,0.322679551947471,0.25419667090807946,0.3174204118521506,0.2551748120465668,0.3317837239289337,0.250261926150125,0.3346409347734145,0.248529201495818,0.33362265885110964,0.3374794709038152,0.3346409347734145,0.34150260742656513,0.04107288066520006,0.3313740121231664,0.05290725001393178,0.314020829077093,0.07044918346668383,0.3146602811905119,0.08115481689514943,0.3157239468750471,0.09691001300805642,0.31636089807487755,0.11885220648539982,0.31444723508277944,0.13782290307210893,0.3058385393023354,0.140057425732832,0.2979420584563016,0.15814265180611936,0.3030035665115057,0.18508198343555854,0.30453238950005185,0.20636695261975144,0.3043143154397815,0.23390001352130715,0.2957228687430449,0.2602742187579232,0.2846818436993924,0.2724147838153857
14,0.13066937842430978,0.16486807554690025,0.14565687264650484,0.16580668512318952,0.15053992928217666,0.16674327052370866,0.1495677003516287,0.16486807554690025,0.1610932192571885,0.16861040358836765,0.16486807554690025,0.16861040358836765,0.16954096850815284,0.16580668512318952,0.17416411714651794,0.16580668512318952,0.17508287035970255,0.16767784046022055,0.18236375307161687,0.16861040358836765,0.1832653404452446,0.16486807554690025,0.1796477061835657,0.1610932192571885,0.17416411714651794,0.15728526428752618,0.1704695437644153,0.1704695437644153,0.16580668512318952,0.15919341534443954,0.005459461987090707,0.15824038779082447,0.005459461987090707,0.16392743302647114,0.005459461987090707,0.16298474873643432,0.008163670487009025,0.16392743302647114,0.014851429403095103,0.1610932192571885,0.03431813960889125,0.15728526428752618,0.038108921446981775,0.16674327052370866,0.058986580381849375,0.16674327052370866,0.06494080693301461,0.16767784046022055,0.0789064630698384,0.16767784046022055,0.0990473742271533,0.16861040358836765,0.11197375944393233,0.16767784046022055,0.11409124039102905,0.16674327052370866,0.11514612184700385
15,0.06141430103065215,0.12767877397432886,0.1023729087095586,0.13175668639476826,0.1152101334147308,0.13175668639476826,0.11940624800833888,0.11940624800833888,0.12356220777949666,0.12767877397432886,0.13175668639476826,0.11097308047147614,0.12356220777949666,0.10669428249220113,0.12356220777949666,0.0935989844020534,0.12767877397432886,0.09800810330710848,0.12767877397432886,0.09800810330710848,0.12767877397432886,0.09800810330710848,0.13175668639476826,0.1023729087095586,0.13579666419650827,0.1023729087095586,0.13579666419650827,0.13175668639476826,0.13175668639476826,0.11097308047147614,0.010857927588208284,0.10669428249220113,0.016186761093275253,0.12767877397432886,0.02145100108563249,0.13175668639476826,0.026652194771440187,0.13979940665018226,0.026652194771440187,0.13175668639476826,0.026652194771440187,0.11940624800833888,0.03687135995312631,0.1023729087095586,0.03687135995312631,0.1023729087095586,0.031791834423851285,0.1023729087095586,0.03687135995312631,0.12356220777949666,0.041892161328177135,0.13579666419650827,0.041892161328177135,0.12767877397432886,0.05176291535447136,0.12767877397432886,0.06141430103065215
16,0.0586844177306717,0.018098222092796226,0.06509478476901978,0.018098222092796226,0.061901428602669464,0.01094918030313213,0.0586844177306717,0.014538411326575938,0.0586844177306717,0.014538411326575938,0.05217801166507157,0.01094918030313213,0.042231901809515526,0.01094918030313213,0.03886526105955823,0.01094918030313213,0.03886526105955823,0.01094918030313213,0.03547231816221886,0.01094918030313213,0.04557264506654467,0.01094918030313213,0.04888788621802158,0.01094918030313213,0.04888788621802158,0.02513148482400011,0.04888788621802158,0.04557264506654467,0.03886526105955823,0.042231901809515526,0.0036804837383676015,0.03886526105955823,0.0,0.04557264506654467,0.0036804837383676015,0.042231901809515526,0.01094918030313213,0.042231901809515526,0.018098222092796226,0.03547231816221886,0.02162909098792949,0.03547231816221886,0.04557264506654467,0.032052658904081606,0.061901428602669464,0.032052658904081606,0.06509478476901978,0.032052658904081606,0.08982998048481163,0.032052658904081606,0.07763845763334365,0.028605859209301913,0.0987541537064267,0.028605859209301913,0.11323197707504955,0.014538411326575938,0.04888788621802158
17,0.11287422520691932,0.10671391650210084,0.11440074516839185,0.1051600884334792,0.12642350551399115,0.1051600884334792,0.1337721492361369,0.10360068107795796,0.1337721492361369,0.10046496722509934,0.13667713987954416,0.09571853220063774,0.14810660166032594,0.0893081651622896,0.15091757899415434,0.08769067918867046,0.13522707348431132,0.08769067918867046,0.13231233447709406,0.0893081651622896,0.1337721492361369,0.08769067918867046,0.14385572450666753,0.08443752179094867,0.14242946876863538,0.08443752179094867,0.15510022270633014,0.13812238075372502,0.13667713987954416,0.13812238075372502,0.009803903494044443,0.14242946876863538,0.013664324307282602,0.14099851366218666,0.017490732160335427,0.1395628281170323,0.021283721177474558,0.1395628281170323,0.02316786505202597,0.13522707348431132,0.02504387005078131,0.13522707348431132,0.04872196952441417,0.12642350551399115,0.04872196952441417,0.12493873660829992,0.06609606559383682,0.11894837291911248,0.06609606559383682,0.12344887414578895,0.0745292331306996,0.12195388305883775,0.08280175909668955,0.11743778189387398,0.10671391650210084,0.1082622050649616,0.0988885789901443
18,0.13826569441881278,0.26563994049486683,0.13230411169456754,0.2634264062335313,0.14705738091858245,0.2678422498892024,0.15850944807527528,0.26563994049486683,0.16412419314365045,0.26563994049486683,0.1805456004819312,0.2406474843153105,0.1778514573388746,0.2335741279280679,0.16966727390443298,0.2239601330811744,0.1937711804035354,0.2335741279280679,0.2091279181429889,0.2311905078835644,0.2091279181429889,0.2239601330811744,0.21412848555846106,0.21907213008229415,0.2239601330811744,0.21412848555846106,0.2239601330811744,0.228793733136462,0.2116353990226288,0.2383024760157715,0.0,0.2383024760157715,0.0,0.24990291146419266,0.0,0.24990291146419266,0.0,0.2678422498892024,0.0,0.2521862736215357,0.0,0.24990291146419266,0.008065124661824628,0.24990291146419266,0.02759604526326486,0.25896520129464096,0.03516893952727962,0.26563994049486683,0.0462862995301213,0.2700334476853453,0.06068014330253438,0.26563994049486683,0.06770203405407273,0.2700334476853453,0.11391204164881502,0.26563994049486683,0.13230411169456754
19,0.12475341785920968,0.2259792989231205,0.12196410524009775,0.2259792989231205,0.1330154517195784,0.21707951039740267,0.13573490006614702,0.21707951039740267,0.1330154517195784,0.21256027625800936,0.138437425787,0.20569200740916627,0.1302788674795859,0.201052064963252,0.13573490006614702,0.18923058165872245,0.138437425787,0.1939978576497597,0.12475341785920968,0.19636201417875826,0.14379254273577052,0.1916207609549076,0.1490824313022915,0.18441039364403455,0.15689837977982155,0.19636201417875826,0.1620319440664972,0.16457614865906256,0.169620275999256,0.17212053898957255,0.0,0.1819800880187841,0.0036898648631647204,0.1939978576497597,0.0036898648631647204,0.20337823272001454,0.0036898648631647204,0.2079935203837021,0.014575008148195581,0.2079935203837021,0.021683096146334846,0.2102829009193233,0.04233490197699343,0.21932161388991425,0.052303843467549585,0.21256027625800936,0.05557661315221043,0.21482577165045472,0.05557661315221043,0.2237713913618579,0.0960197609397698,0.22155220164860115,0.10484121145457816,0.21707951039740267,0.11915676203286628,0.2259792989231205,0.12196410524009775
21,0.2372559714972177,0.3113727836063884,0.24865044620943125,0.314605358872347,0.25792267034853844,0.3129920788526241,0.2956806503498572,0.3105608662229638,0.2990317046450232,0.305657225697964,0.31940955036108554,0.3081159668297332,0.3373484860109067,0.2863296543393704,0.3396346528021987,0.269687983020153,0.3241611785252293,0.27057994160418003,0.3690198511455445,0.26339244645310955,0.3508883783885461,0.22158284146055005,0.36473683337602864,0.18735238880334548,0.3618578405199732,0.1808280625687122,0.3661692043377209,0.37676400073710703,0.3925233778233607,0.38982337234789616,0.08974028918280025,0.3972083691237127,0.08017695412284481,0.3809305931234103,0.11849470758037214,0.3809305931234103,0.1146839681680248,0.3802389311172007,0.14188260576024994,0.37676400073710703,0.15603025682154215,0.3618578405199732,0.15718868504080202,0.3342814218377847,0.20011416349265115,0.3257335715604077,0.2104697919847776,0.3202051074289507,0.2175745575220007,0.3225830718400176,0.24865044620943125,0.3225830718400176,0.26339244645310955,0.3202051074289507,0.2570043056969517,0.3217918628729496,0.21352893458352515
