dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-03-21,2020-04-11,2020-03-24,2020-04-14,2020-03-23,2020-04-13,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-03-27,2020-04-17,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
33,8.264766382603584E-5,1.3407287687334704E-4,1.3223626212165737E-4,9.244294250171417E-5,1.3407287687334704E-4,8.87697129983348E-5,1.3407287687334704E-4,9.795278675678323E-5,1.3468508179057694E-4,9.672837692232344E-5,1.3468508179057694E-4,1.0407483592908219E-4,1.010138113429327E-4,1.3468508179057694E-4,7.530120481927712E-5,1.3039964736996767E-4,6.611813106082869E-5,1.3039964736996767E-4,5.8159467136840044E-5,1.2978744245273777E-4,1.3468508179057695E-5,1.1754334410813987E-4,1.2856303261827798E-5,1.1693113919090999E-4,3.061024586149476E-5,1.2121657361151924E-4,1.652953276520717E-5,1.2060436869428936E-4,4.040552453717308E-5,1.2366539328043883E-4,3.489568028210403E-5,1.2244098344597903E-4,5.2037417964541094E-5,1.273386227838182E-4,4.836418846116172E-5,1.255020080321285E-4,4.285434420609266E-6,1.144823195219904E-4,1.8366147516896855E-6,1.1203349985307082E-4,1.0836027034969144E-4
34,9.607658919606E-5,1.6834658991876002E-4,1.6409541340566003E-4,1.0968035403798001E-4,1.6919682522138E-4,1.0117800101178001E-4,1.6919682522138E-4,1.1223105994584002E-4,1.7004706052400003E-4,1.1223105994584002E-4,1.6919682522138E-4,1.2158364827466002E-4,1.1733247176156001E-4,1.7089729582662002E-4,8.757423616986001E-5,1.6324517810304E-4,8.162258905152E-5,1.6324517810304E-4,6.971929481484001E-5,1.572935309847E-4,1.7854941355020002E-5,1.3348694251134E-4,1.4454000144540002E-5,1.3263670720872002E-4,3.2308941499560005E-5,1.4368976614278E-4,2.4656823775980002E-5,1.3943858962968002E-4,4.6762941644100006E-5,1.5134188386636003E-4,3.996105922314E-5,1.4794094265588003E-4,6.37676476965E-5,1.5474282507684002E-4,5.441505936768E-5,1.5134188386636003E-4,1.1053058934060002E-5,1.3093623660348E-4,5.951647118340001E-6,1.2498458948514E-4,1.2498458948514E-4
35,5.082836370559103E-5,8.594614226581756E-5,8.594614226581756E-5,5.637327610983732E-5,8.687029433319193E-5,5.544912404246294E-5,8.594614226581756E-5,6.2842340581458E-5,8.687029433319193E-5,5.9145732311960465E-5,8.687029433319193E-5,6.561479678358114E-5,6.469064471620676E-5,8.687029433319193E-5,4.435929923397035E-5,8.502199019844318E-5,3.7890234762349675E-5,8.31736860636944E-5,3.4193626492852146E-5,8.224953399632003E-5,1.4786433077990116E-5,7.393216538995059E-5,1.1089824808492588E-5,7.393216538995059E-5,2.0331345482236412E-5,7.578046952469935E-5,1.8483041347487648E-5,7.485631745732497E-5,2.402795375173394E-5,7.670462159207373E-5,2.2179649616985176E-5,7.578046952469935E-5,3.234532235810338E-5,8.132538192894565E-5,2.772456202123147E-5,7.947707779419688E-5,8.31736860636944E-6,7.208386125520182E-5,6.469064471620676E-6,7.115970918782744E-5,6.931140505307867E-5
36,6.447482948710274E-5,9.67122442306541E-5,9.67122442306541E-5,7.829086437719617E-5,1.0592293415738306E-4,6.908017445046721E-5,1.0131758919401857E-4,8.289620934056066E-5,1.0592293415738306E-4,8.289620934056066E-5,1.0592293415738306E-4,8.289620934056066E-5,8.289620934056066E-5,1.0592293415738306E-4,5.986948452373825E-5,9.210689926728961E-5,5.986948452373825E-5,9.210689926728961E-5,5.986948452373825E-5,9.210689926728961E-5,9.210689926728962E-6,9.210689926728961E-5,9.210689926728962E-6,9.210689926728961E-5,3.223741474355137E-5,9.210689926728961E-5,2.3026724816822402E-5,9.210689926728961E-5,3.223741474355137E-5,9.210689926728961E-5,3.223741474355137E-5,9.210689926728961E-5,5.986948452373825E-5,9.210689926728961E-5,4.6053449633644805E-5,9.210689926728961E-5,4.605344963364481E-6,9.210689926728961E-5,0.0,9.210689926728961E-5,9.210689926728961E-5
37,6.937791139449602E-5,1.453632429218012E-4,1.453632429218012E-4,9.415573689253031E-5,1.5031880802140804E-4,7.928904159370974E-5,1.4701509795500347E-4,1.0406686709174403E-4,1.536225180878126E-4,1.0406686709174403E-4,1.5031880802140804E-4,1.1397799729095774E-4,1.1397799729095774E-4,1.536225180878126E-4,6.111863622848459E-5,1.453632429218012E-4,5.4511216095675446E-5,1.4205953285539662E-4,4.625194092966401E-5,1.4205953285539662E-4,8.259275166011431E-6,1.3875582278899203E-4,4.955565099606859E-6,1.3875582278899203E-4,1.4866695298820575E-5,1.4040767782219431E-4,1.3214840265618289E-5,1.3875582278899203E-4,2.3125970464832006E-5,1.4040767782219431E-4,2.147411543162972E-5,1.4040767782219431E-4,3.964452079685487E-5,1.4040767782219431E-4,3.63408107304503E-5,1.4040767782219431E-4,4.955565099606859E-6,1.3049654762298062E-4,3.3037100664045723E-6,1.2554098252337374E-4,1.205854174237669E-4
38,5.1384252228693126E-5,1.0751166620157331E-4,1.0434955837211527E-4,5.77084678876092E-5,1.1067377403103134E-4,5.3755833100786656E-5,1.0988324707366684E-4,6.403268354652528E-5,1.1067377403103134E-4,6.087057571706724E-5,1.1067377403103134E-4,7.193795312017038E-5,6.798531833334782E-5,1.1146430098839586E-4,4.7431617441870575E-5,1.0276850445738625E-4,4.5060036569777045E-5,1.0039692358529272E-4,3.952634786822548E-5,9.881586967056371E-5,3.1621078294580383E-6,8.616743835273154E-5,1.5810539147290191E-6,8.458638443800253E-5,6.3242156589160765E-6,8.853901922482507E-5,6.3242156589160765E-6,8.695796531009606E-5,1.897264697674823E-5,9.486323488374115E-5,1.4229485232561173E-5,9.486323488374115E-5,3.162107829458039E-5,9.80253427131992E-5,3.0040024379851365E-5,9.723481575583468E-5,7.905269573645096E-7,8.2214803565909E-5,7.905269573645096E-7,7.984322269381547E-5,7.35190070348994E-5
39,5.04171045844661E-5,1.6288603019596742E-4,1.590077913817777E-4,5.81735822128455E-5,1.7064250782434682E-4,5.4295343398655805E-5,1.6288603019596742E-4,6.20518210270352E-5,1.745207466385365E-4,6.20518210270352E-5,1.7064250782434682E-4,8.144301509798371E-5,6.98082986554146E-5,1.8227722426691591E-4,4.65388657702764E-5,1.4349483612501892E-4,4.2660626956086705E-5,1.4349483612501892E-4,4.2660626956086705E-5,1.4349483612501892E-4,0.0,1.124689256115013E-4,0.0,1.0859068679731161E-4,3.8782388141897E-6,1.241036420540704E-4,0.0,1.202254032398807E-4,3.10259105135176E-5,1.318601196824498E-4,1.16347164425691E-5,1.279818808682601E-4,4.2660626956086705E-5,1.4349483612501892E-4,4.2660626956086705E-5,1.396165973108292E-4,0.0,1.0859068679731161E-4,0.0,9.30777315405528E-5,8.532125391217341E-5
40,1.9418465504309686E-5,4.369154738469679E-5,4.126423919665808E-5,2.1845773692348396E-5,4.369154738469679E-5,1.9418465504309686E-5,4.369154738469679E-5,2.4273081880387107E-5,4.369154738469679E-5,2.4273081880387107E-5,4.369154738469679E-5,3.155500644450324E-5,3.155500644450324E-5,4.369154738469679E-5,1.4563849128232264E-5,4.126423919665808E-5,1.2136540940193553E-5,4.126423919665808E-5,9.709232752154843E-6,3.883693100861937E-5,0.0,3.398231463254195E-5,0.0,3.398231463254195E-5,0.0,3.640962282058066E-5,0.0,3.398231463254195E-5,9.709232752154843E-6,3.640962282058066E-5,7.281924564116132E-6,3.640962282058066E-5,9.709232752154843E-6,3.883693100861937E-5,9.709232752154843E-6,3.883693100861937E-5,0.0,3.398231463254195E-5,0.0,3.398231463254195E-5,3.398231463254195E-5
41,4.5754724175271096E-5,1.1896228285570485E-4,1.1896228285570485E-4,5.490566901032532E-5,1.25062912745741E-4,5.490566901032532E-5,1.25062912745741E-4,5.490566901032532E-5,1.25062912745741E-4,5.490566901032532E-5,1.25062912745741E-4,6.1006298900361464E-5,6.1006298900361464E-5,1.25062912745741E-4,3.6603779340216874E-5,1.1896228285570485E-4,2.4402519560144586E-5,1.1896228285570485E-4,2.1352204615126513E-5,1.0981133802065064E-4,3.0503149450180733E-6,8.235850351548797E-5,3.0503149450180733E-6,8.235850351548797E-5,6.100629890036147E-6,8.540881846050605E-5,6.100629890036147E-6,8.235850351548797E-5,1.2201259780072293E-5,9.150944835054219E-5,9.150944835054219E-6,9.150944835054219E-5,1.8301889670108437E-5,1.0981133802065064E-4,1.8301889670108437E-5,1.0981133802065064E-4,3.0503149450180733E-6,8.235850351548797E-5,0.0,7.93081885704699E-5,6.405661384537954E-5
42,1.1637987961874475E-4,2.1706809007541154E-4,2.1576045097857171E-4,1.3337918787766252E-4,2.2099100736593102E-4,1.2684099239346338E-4,2.1706809007541154E-4,1.4514793974922097E-4,2.2229864646277085E-4,1.4384030065238114E-4,2.2229864646277085E-4,1.5430141342709976E-4,1.516861352334201E-4,2.2229864646277085E-4,1.1114932323138543E-4,2.1183753368805223E-4,1.0591876684402612E-4,2.105298945912124E-4,9.284237587562783E-5,2.052993382038531E-4,2.092222554943726E-5,1.83069473557576E-4,1.4384030065238115E-5,1.739159998796972E-4,3.0075699227316058E-5,1.8960766904177514E-4,2.4845142839956744E-5,1.8568475175125565E-4,5.753612026095246E-5,1.961458645259743E-4,4.5767368389394E-5,1.922229472354548E-4,8.23812631009092E-5,2.0006878181649378E-4,6.145903755147194E-5,1.961458645259743E-4,1.1768751871558457E-5,1.739159998796972E-4,6.538195484199143E-6,1.647625262018184E-4,1.6214724800813876E-4
43,2.2036042150541426E-5,3.0850459010757996E-5,3.0850459010757996E-5,2.2036042150541426E-5,3.0850459010757996E-5,2.2036042150541426E-5,3.0850459010757996E-5,2.644325058064971E-5,3.0850459010757996E-5,2.644325058064971E-5,3.0850459010757996E-5,3.0850459010757996E-5,2.644325058064971E-5,3.0850459010757996E-5,2.2036042150541426E-5,3.0850459010757996E-5,2.2036042150541426E-5,3.0850459010757996E-5,2.2036042150541426E-5,3.0850459010757996E-5,4.407208430108285E-6,3.0850459010757996E-5,4.407208430108285E-6,3.0850459010757996E-5,8.81441686021657E-6,3.0850459010757996E-5,8.81441686021657E-6,3.0850459010757996E-5,2.2036042150541426E-5,3.0850459010757996E-5,1.3221625290324855E-5,3.0850459010757996E-5,2.2036042150541426E-5,3.0850459010757996E-5,2.2036042150541426E-5,3.0850459010757996E-5,4.407208430108285E-6,3.0850459010757996E-5,0.0,3.0850459010757996E-5,3.0850459010757996E-5
44,4.522881256275498E-5,7.723689529947388E-5,7.723689529947388E-5,5.4274575075305974E-5,7.723689529947388E-5,5.00996077618209E-5,7.723689529947388E-5,5.844954238879105E-5,7.723689529947388E-5,5.636205873204851E-5,7.723689529947388E-5,6.192868181669527E-5,6.053702604553358E-5,7.723689529947388E-5,4.2445501020431595E-5,7.654106741389304E-5,3.548722216462314E-5,7.584523952831219E-5,3.33997385078806E-5,7.584523952831219E-5,9.74159039813184E-6,7.30619279859888E-5,6.958278855808458E-6,7.167027221482712E-5,1.3916557711616916E-5,7.375775587156966E-5,1.1133246169293532E-5,7.375775587156966E-5,2.0874836567425373E-5,7.514941164273134E-5,1.66998692539403E-5,7.44535837571505E-5,3.1312254851138065E-5,7.584523952831219E-5,2.5745631766491296E-5,7.584523952831219E-5,4.87079519906592E-6,7.167027221482712E-5,2.783311542323383E-6,6.67994770157612E-5,6.471199335901866E-5
45,9.957679860592482E-5,2.533350905709558E-4,2.4894199651481205E-4,1.3179282168431227E-4,2.621212786832433E-4,1.112917160889748E-4,2.577281846270995E-4,1.391146451112185E-4,2.6797873742476826E-4,1.36185915740456E-4,2.6358564336862453E-4,1.5668702133579346E-4,1.4936519790888724E-4,2.7090746679553075E-4,8.200442238134985E-5,2.4308453777328705E-4,7.175386958368112E-5,2.4308453777328705E-4,6.589641084215613E-5,2.416201730879058E-4,1.757237622457497E-5,1.918317737849434E-4,8.786188112287485E-6,1.9036740909956216E-4,2.342983496609996E-5,2.1086851469489962E-4,2.342983496609996E-5,2.0354669126799337E-4,4.2466575876056175E-5,2.2111906749256835E-4,3.0751658393006195E-5,2.196547028071871E-4,5.1252763988343654E-5,2.3576271434638083E-4,4.393094056143742E-5,2.2990525560485583E-4,5.85745874152499E-6,1.8743867972879967E-4,4.393094056143742E-6,1.7865249161651218E-4,1.7133066818960594E-4
46,2.3099222711155768E-5,8.662208516683414E-5,8.662208516683414E-5,4.6198445422311537E-5,8.662208516683414E-5,4.6198445422311537E-5,8.662208516683414E-5,4.6198445422311537E-5,8.662208516683414E-5,4.6198445422311537E-5,8.662208516683414E-5,5.197325110010048E-5,5.197325110010048E-5,8.662208516683414E-5,1.7324417033366826E-5,8.662208516683414E-5,1.7324417033366826E-5,7.507247381125625E-5,1.7324417033366826E-5,6.92976681334673E-5,0.0,6.92976681334673E-5,0.0,6.92976681334673E-5,0.0,6.92976681334673E-5,0.0,6.92976681334673E-5,5.774805677788942E-6,6.92976681334673E-5,5.774805677788942E-6,6.92976681334673E-5,1.1549611355577884E-5,6.92976681334673E-5,5.774805677788942E-6,6.92976681334673E-5,0.0,5.774805677788942E-5,0.0,5.774805677788942E-5,5.774805677788942E-5
47,3.329942846071878E-5,3.632664922987504E-5,3.632664922987504E-5,3.632664922987504E-5,3.632664922987504E-5,3.632664922987504E-5,3.632664922987504E-5,3.632664922987504E-5,3.9353869999031286E-5,3.632664922987504E-5,3.9353869999031286E-5,3.632664922987504E-5,3.632664922987504E-5,3.9353869999031286E-5,3.329942846071878E-5,3.632664922987504E-5,3.329942846071878E-5,3.632664922987504E-5,3.027220769156253E-5,3.632664922987504E-5,3.027220769156253E-6,3.632664922987504E-5,0.0,3.632664922987504E-5,9.08166230746876E-6,3.632664922987504E-5,9.08166230746876E-6,3.632664922987504E-5,1.5136103845781265E-5,3.632664922987504E-5,9.08166230746876E-6,3.632664922987504E-5,3.027220769156253E-5,3.632664922987504E-5,2.119054538409377E-5,3.632664922987504E-5,0.0,3.632664922987504E-5,0.0,3.632664922987504E-5,3.632664922987504E-5
48,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,0.0,2.6217130272920327E-5,0.0,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,0.0,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,2.6217130272920327E-5,0.0,2.6217130272920327E-5,0.0,2.6217130272920327E-5,2.6217130272920327E-5
49,8.457115682311514E-5,1.397262590990598E-4,1.397262590990598E-4,9.927918409670038E-5,1.4095192803852523E-4,9.069950152044232E-5,1.397262590990598E-4,1.0173052197563125E-4,1.4217759697799067E-4,1.0050485303616582E-4,1.4095192803852523E-4,1.0908453561242387E-4,1.0540752879402756E-4,1.4217759697799067E-4,7.231446742846076E-5,1.397262590990598E-4,6.00577780338064E-5,1.397262590990598E-4,4.902675757861747E-5,1.3604925228066347E-4,1.103102045518893E-5,1.2746956970440543E-4,9.805351515723495E-6,1.2501823182547455E-4,2.696471666823961E-5,1.299209075833363E-4,1.7159365152516113E-5,1.2746956970440543E-4,3.67700681839631E-5,1.3482358334119805E-4,2.9416054547170482E-5,1.3482358334119805E-4,4.902675757861747E-5,1.3482358334119805E-4,4.289841288129029E-5,1.3482358334119805E-4,3.6770068183963103E-6,1.237925628860091E-4,3.6770068183963103E-6,1.2134122500707824E-4,1.1521288030975106E-4
50,4.6874777090054596E-5,8.152135146096452E-5,8.152135146096452E-5,5.298887844962694E-5,8.152135146096452E-5,5.0950844663102826E-5,8.152135146096452E-5,5.9102979809199274E-5,8.152135146096452E-5,5.502691223615105E-5,8.152135146096452E-5,6.31790473822475E-5,6.114101359572339E-5,8.152135146096452E-5,4.076067573048226E-5,8.152135146096452E-5,3.872264194395815E-5,8.152135146096452E-5,3.2608540584385805E-5,7.74452838879163E-5,1.2228202719144679E-5,6.521708116877161E-5,8.152135146096451E-6,6.521708116877161E-5,1.6304270292192903E-5,6.521708116877161E-5,1.426623650566879E-5,6.521708116877161E-5,1.8342304078717018E-5,7.133118252834396E-5,1.6304270292192903E-5,6.929314874181985E-5,2.853247301133758E-5,7.336921631486807E-5,2.038033786524113E-5,7.133118252834396E-5,8.152135146096451E-6,6.521708116877161E-5,4.076067573048226E-6,6.31790473822475E-5,6.31790473822475E-5
51,1.5785095677189472E-4,2.607201196120059E-4,2.607201196120059E-4,1.755870193305346E-4,2.642673321237339E-4,1.6671898805121466E-4,2.642673321237339E-4,1.8268144435399053E-4,2.642673321237339E-4,1.8268144435399053E-4,2.642673321237339E-4,1.9687029440090242E-4,1.844550506098545E-4,2.642673321237339E-4,1.489829254925748E-4,2.5717290710027793E-4,1.4188850046911885E-4,2.5539930084441395E-4,1.1705801288702305E-4,2.5007848207682197E-4,3.0151306349687757E-5,2.252479944947262E-4,2.128327507036783E-5,2.1815356947127023E-4,5.498179393178356E-5,2.2702160075059016E-4,4.6113762652463626E-5,2.252479944947262E-4,7.981228151387936E-5,2.3766323828577408E-4,7.271785649042341E-5,2.3766323828577408E-4,1.1173719411943109E-4,2.48304875820958E-4,8.868031279319929E-5,2.4298405705336604E-4,1.0641637535183915E-5,2.0928553819195031E-4,3.5472125117279713E-6,2.0573832568022233E-4,2.0041750691263038E-4
