dep,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15
11,0.0021464697280691165,0.004829556888155511,0.0069760266162246275,0.0069760266162246275,0.007244335332233268,0.009659113776311023,0.008854187628285106,0.009927422492319662,0.010195731208328304,0.01207389222038878,0.015830214244509734,0.018244992688587487,0.019586536268630685,0.020123153700647965,0.021464697280691163,0.02709918031687259,0.026562562884855315,0.02736748903288123,0.025489328020820757,0.020391462416656608,0.021733005996699802,0.019586536268630685,0.018513301404596127,0.016903449108544293,0.01770837525657021,0.021733005996699802,0.024416093156786195,0.023074549576743,0.020659771132665244
12,0.0025147291277482398,0.003233223164247737,0.0043109642189969825,0.003951717200747234,0.004670211237246731,0.0050294582554964795,0.006825693346745223,0.006107199310245726,0.007903434401494469,0.008621928437993965,0.011855151602241702,0.012214398620491451,0.014369880729989942,0.015447621784739187,0.016525362839488432,0.018680844948986922,0.02155482109498491,0.020836327058485416,0.020117833021985918,0.02119557407673516,0.01975858600373617,0.018680844948986922,0.018680844948986922,0.017962350912487428,0.01975858600373617,0.020117833021985918,0.020477080040235664,0.020117833021985918,0.01975858600373617
13,0.0048169817284018585,0.006291567971790183,0.008552600211652278,0.009978033580260991,0.012140760070563868,0.015286544056458958,0.018137410793676385,0.01848148091713366,0.021332347654351085,0.02580525925929567,0.02954087774254609,0.03465277671962561,0.03986298144626436,0.04236977806002451,0.04359859992951478,0.04649861954151181,0.050234238024762234,0.05111898977079522,0.05382239788367382,0.05745971061736502,0.052790187513302,0.05441223238102915,0.051364754144693284,0.05352748063499616,0.052298658765505886,0.055690207125299034,0.05637834737221358,0.056132582998315535,0.05706648761912814
14,0.0005784919582386656,0.0005784919582386656,0.0005784919582386656,0.0008677379373579983,0.0015908528851563302,0.003760197728551326,0.0041940666972303245,0.006652657519744654,0.007375772467542986,0.009111248342258982,0.011714462154332977,0.013449938029048975,0.013739184008168306,0.013883806997727973,0.016053151841122968,0.018222496684517964,0.018945611632316298,0.01880098864275663,0.020536464517472625,0.021114956475711294,0.021838071423509624,0.022561186371307957,0.02270580936086762,0.023862793277344953,0.02400741626690462,0.023428924308665954,0.022561186371307957,0.02198269441306929,0.02198269441306929
15,0.0014004523461077928,0.0021006785191616893,0.0028009046922155855,0.0035011308652694822,0.0035011308652694822,0.0035011308652694822,0.004901583211377274,0.004901583211377274,0.0042013570383233785,0.004901583211377274,0.005601809384431171,0.005601809384431171,0.0070022617305389645,0.008402714076646757,0.008402714076646757,0.014704749634131825,0.016805428153293514,0.01750565432634741,0.018205880499401306,0.019606332845509097,0.018205880499401306,0.018205880499401306,0.018906106672455205,0.018906106672455205,0.018906106672455205,0.019606332845509097,0.020306559018562997,0.020306559018562997,0.019606332845509097
16,0.0002872077660979953,0.0,0.0002872077660979953,0.0008616232982939859,0.0014360388304899764,0.0017232465965879718,0.003733700959273939,0.005169739789763915,0.0054569475558619105,0.007754609684645873,0.006605778620253891,0.008616232982939858,0.010052271813429835,0.004020908725371934,0.00488253202366592,0.0054569475558619105,0.005169739789763915,0.00488253202366592,0.00488253202366592,0.004308116491469929,0.0034464931931759437,0.003159285427077948,0.003159285427077948,0.002872077660979953,0.003733700959273939,0.004020908725371934,0.004020908725371934,0.004020908725371934,0.003733700959273939
17,0.0007727019842986957,0.001081782778018174,0.0013908635717376522,0.0016999443654571306,0.0018544847623168696,0.0020090251591766087,0.0040180503183532175,0.0040180503183532175,0.005563454286950609,0.005563454286950609,0.006336156271249305,0.007108858255548,0.009426964208444088,0.008654262224145393,0.010045125795883044,0.010199666192742783,0.011435989367620697,0.012208691351919392,0.012208691351919392,0.012517772145638869,0.013754095320516784,0.01406317611423626,0.012363231748779131,0.012054150955059652,0.012208691351919392,0.013290474129937566,0.013135933733077827,0.014526797304815478,0.01267231254249861
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0006747547266568603,0.0023616415432990106,0.003036396269955871,0.004048528359941162,0.005398037813254882,0.006072792539911742,0.010796075626509765,0.012820339806480344,0.013495094533137205,0.012820339806480344,0.014507226623122494,0.015856736076436215,0.016531490803093074,0.01855575498306366,0.018218377619735226,0.017206245529749937,0.020242641799705807,0.02226690597967639,0.02226690597967639,0.022941660706333248,0.024291170159646967,0.024291170159646967,0.02496592488630383
19,0.0,0.00041608414885826507,0.00041608414885826507,0.00041608414885826507,0.0016643365954330603,0.0024965048931495904,0.004993009786299181,0.006241262232873977,0.006657346381732241,0.006657346381732241,0.012066440316889688,0.013314692763464482,0.01539511350775581,0.015811197656614075,0.016227281805472338,0.015811197656614075,0.017475534252047134,0.0178916184009054,0.017475534252047134,0.018307702549763664,0.017059450103188867,0.0178916184009054,0.018307702549763664,0.016227281805472338,0.019139870847480193,0.019972039145196723,0.02122029159177152,0.022052459889488053,0.022468544038346316
21,0.011259443858536347,0.00994584207504044,0.015387906606666342,0.014824934413739523,0.018953397161869518,0.021205285933576786,0.02139294333121906,0.028711581839267687,0.03058815581569041,0.03190175759918632,0.037906794323739036,0.040909312686015394,0.03959571090251949,0.03115112800861723,0.03565490555203177,0.037906794323739036,0.03978336830016176,0.04785263639877948,0.04860326598934857,0.05329470093040538,0.05761082107617764,0.05817379326910446,0.05442064531625901,0.06568008917479536,0.06098865423373855,0.06455414478894173,0.06380351519837264,0.06492945958422627,0.06774432054886036
22,0.00016773288872935627,0.00033546577745871255,0.0008386644436467813,0.001174130221105494,0.001174130221105494,0.0015095959985642064,0.001845061776022919,0.0025159933309403444,0.003690123552045838,0.005367452439339401,0.005702918216798113,0.006038383994256826,0.006541582660444895,0.006541582660444895,0.007883445770279746,0.00989624043503202,0.010902637767408158,0.01039943910122009,0.01174130221105494,0.012579966654701721,0.011573569322325583,0.011070370656137514,0.010734904878678802,0.01174130221105494,0.011573569322325583,0.012244500877243008,0.012412233765972364,0.012915432432160433,0.012579966654701721
23,0.0,0.0,0.0,0.0008600670852326481,0.0008600670852326481,0.0017201341704652963,0.0017201341704652963,0.0034402683409305926,0.0034402683409305926,0.005160402511395889,0.005160402511395889,0.005160402511395889,0.006880536681861185,0.007740603767093833,0.00946073793755913,0.00946073793755913,0.00946073793755913,0.010320805022791778,0.010320805022791778,0.00946073793755913,0.011180872108024426,0.024081878386514148,0.024941945471746794,0.024941945471746794,0.026662079642212094,0.028382213812677387,0.029242280897910037,0.02752214672744474,0.025802012556979444
