dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-29,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-05-03,2020-03-21,2020-04-11,2020-05-04,2020-03-24,2020-04-14,2020-05-01,2020-03-23,2020-04-13,2020-05-02,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-05-05,2020-03-27,2020-04-17,2020-04-30,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
74,4.613188553960576E-5,7.810679440834649E-5,7.810679440834649E-5,5.29464077750947E-5,7.863095363006491E-5,5.03254503385569E-5,7.863095363006491E-5,5.976082308557143E-5,7.863095363006491E-5,5.4518974644766894E-5,7.863095363006491E-5,6.605095770174548E-5,7.967927017574536E-5,6.238172358063715E-5,7.915511221916523E-5,4.0365667822412154E-5,7.810679440834649E-5,3.564779638088333E-5,7.601015119506824E-5,3.040565689078264E-5,7.54859888102363E-5,3.145511500853012E-6,7.076849887795241E-5,8.020342749961401E-5,1.5727585982184464E-6,7.076849887795241E-5,8.072758419096554E-5,1.1009190581807862E-5,7.181683440247419E-5,8.020342749961401E-5,7.3394913965773964E-6,7.181683440247419E-5,8.020342749961401E-5,1.782426394616932E-5,7.391349785977791E-5,1.4154622346604275E-5,7.234100121572915E-5,2.4115005978368952E-5,7.54859888102363E-5,8.072758419096554E-5,2.14938745386686E-5,7.443766214259267E-5,8.020342749961401E-5,1.0485063650224655E-6,6.972016082286653E-5,1.0485063650224655E-6,6.919599084640645E-5,6.762347712105001E-5
75,1.6836664612994637E-4,3.596958171015778E-4,3.5727189863346787E-4,2.0069850656472156E-4,3.6858340240895156E-4,1.875639785597649E-4,3.6434162301837464E-4,2.275725336683179E-4,3.730271268587865E-4,2.162573565218885E-4,3.695933437764215E-4,2.540408145277903E-4,3.7928866141033257E-4,2.419181380164023E-4,3.7625889790014527E-4,1.5017891681353958E-4,3.536359955649602E-4,1.3239462275045145E-4,3.477780877050312E-4,1.212790691280083E-4,3.445461047179445E-4,2.6684301219670467E-5,3.035382319830747E-4,3.879738663313875E-4,2.0215530266760188E-5,2.948513383014085E-4,3.914075040902755E-4,4.649431290896728E-5,3.1626522755957013E-4,3.833283132117605E-4,3.2748686482363046E-5,3.0959875258199104E-4,3.8454020142510994E-4,7.479276219822581E-5,3.2899185018251314E-4,6.0239504293741996E-5,3.2434566609903164E-4,1.0692947921378608E-4,3.4252610313694295E-4,3.9403320876523016E-4,9.07603590904643E-5,3.3626403852701254E-4,3.8211642161675334E-4,1.273589374021246E-5,2.885885862293765E-4,8.490637325105983E-6,2.7545671608771304E-4,2.665672247728273E-4
76,4.469156598426348E-5,8.065097140406504E-5,8.030186527592814E-5,5.2721594329190556E-5,8.100007725167082E-5,4.992855783196432E-5,8.065097140406504E-5,5.726024032677219E-5,8.274560227991681E-5,5.551461286404067E-5,8.204739311053463E-5,6.179883889319115E-5,8.414201725137965E-5,5.93549840204258E-5,8.414201725137965E-5,4.1549340562947104E-5,7.96036521776735E-5,3.456653600740923E-5,7.925454520765127E-5,3.107509162680095E-5,7.820722261371033E-5,4.19002968571007E-6,6.947943610900003E-5,8.414201725137965E-5,3.142526054118986E-6,6.913032100054373E-5,8.484022305327471E-5,7.3325254213082195E-6,7.29705717587146E-5,8.414201725137965E-5,5.237530790763845E-6,7.157412086646503E-5,8.414201725137965E-5,1.675987619828219E-5,7.401790698106221E-5,1.1173322663110099E-5,7.29705717587146E-5,2.6536171968536933E-5,7.646167934458647E-5,8.553842773277768E-5,2.164805159233365E-5,7.576346007245157E-5,8.414201725137965E-5,1.745850615172805E-6,6.738474124842396E-5,1.3966810535412453E-6,6.563915448028355E-5,6.31953212176451E-5
77,7.35147494085865E-5,1.485418692121835E-4,1.4701705679005507E-4,8.846020949391725E-5,1.5159147799573413E-4,8.205507529248337E-5,1.506765976091976E-4,9.639024476991148E-5,1.540311496043894E-4,9.334024833820288E-5,1.5342123298709042E-4,1.0828502619211144E-4,1.5647080750814078E-4,1.0218517897942561E-4,1.5525098026941664E-4,6.588931652120794E-5,1.4396741588471127E-4,5.826374974263747E-5,1.427475535263594E-4,5.063804906798029E-5,1.4061278615461615E-4,1.2202479495860976E-5,1.2475418573302478E-4,1.6135008220154791E-4,9.15189176450319E-6,1.226193299131289E-4,1.6135008220154791E-4,2.318441790790883E-5,1.314636642767329E-4,1.6013026866736177E-4,1.738842946232139E-5,1.271940081057856E-4,1.6135008220154791E-4,3.7216490659811796E-5,1.3542830742147604E-4,2.898032900267756E-5,1.3329350407161112E-4,4.880786098188621E-5,1.4000285069236927E-4,1.6226494010372915E-4,4.453739212002024E-5,1.3817303916623724E-4,1.5982531474850734E-4,6.711406151105044E-6,1.2109442647372411E-4,3.9658434432759984E-6,1.165196840298113E-4,1.1285985537808298E-4
78,5.785710720194519E-5,9.802279365496281E-5,9.652414072781173E-5,6.714949928122818E-5,1.001208990649243E-4,6.23534507772058E-5,9.952144141071276E-5,7.044675190456751E-5,1.0191926706317119E-4,7.044675190456751E-5,1.0131981189115123E-4,7.55424567199846E-5,1.0221899433884854E-4,7.254499054002472E-5,1.0221899433884854E-4,5.186191002043776E-5,9.652414072781173E-5,4.4667564157082484E-5,9.382655242663275E-5,3.9271726547548053E-5,9.232788501900226E-5,8.394255224199234E-6,8.663290170465869E-5,1.0371762761459526E-4,7.195085839894597E-6,8.513420947295985E-5,1.0371762761459526E-4,1.8587061305197925E-5,8.783185176636178E-5,1.0281844826973222E-4,1.1092374232371295E-5,8.693263953036577E-5,1.0311817492484272E-4,2.8180072033675077E-5,8.933053468899887E-5,2.338359315660669E-5,8.843132555604274E-5,3.71733271499948E-5,9.142868209215802E-5,1.0371762761459526E-4,3.0878068122798165E-5,8.993000640989731E-5,1.0281844826973222E-4,3.897352960257682E-6,8.423499165143812E-5,2.0985790168724827E-6,8.063810174679717E-5,7.913938882756974E-5
79,6.992906882126845E-6,1.6316607575698135E-5,1.5151155935548034E-5,8.158380415438854E-6,1.6316607575698135E-5,6.992906882126845E-6,1.6316607575698135E-5,8.158380415438854E-6,1.748205608830705E-5,8.158380415438854E-6,1.748205608830705E-5,8.158380415438854E-6,1.748205608830705E-5,8.158380415438854E-6,1.748205608830705E-5,6.992906882126845E-6,1.5151155935548034E-5,4.661950432266736E-6,1.5151155935548034E-5,4.661950432266736E-6,1.5151155935548034E-5,1.1654922997131293E-6,1.3985701167839956E-5,1.748205608830705E-5,1.1654922997131293E-6,1.3985701167839956E-5,1.748205608830705E-5,1.1654922997131293E-6,1.5151155935548034E-5,1.748205608830705E-5,1.1654922997131293E-6,1.5151155935548034E-5,1.748205608830705E-5,1.1654922997131293E-6,1.5151155935548034E-5,1.1654922997131293E-6,1.5151155935548034E-5,1.1654922997131293E-6,1.5151155935548034E-5,1.748205608830705E-5,1.1654922997131293E-6,1.5151155935548034E-5,1.748205608830705E-5,1.1654922997131293E-6,1.3985701167839956E-5,1.1654922997131293E-6,1.0489318099296441E-5,9.323850821188602E-6
80,5.487702413749438E-5,1.0669895842912518E-4,1.0517487214883174E-4,6.097404324841315E-5,1.0974711494410621E-4,5.792554439238801E-5,1.0822303936080655E-4,7.316782468993325E-5,1.127952500653249E-4,6.859519677044593E-5,1.127952500653249E-4,7.926458702524451E-5,1.135572805029617E-4,7.621621655612193E-5,1.127952500653249E-4,5.259061990311187E-5,1.028887326998908E-4,4.573133497650181E-5,1.0212668354264412E-4,3.887194171203624E-5,1.0212668354264412E-4,1.7530914247043898E-5,9.374405455924245E-5,1.1508133736678714E-4,1.4482110428778653E-5,9.374405455924245E-5,1.1508133736678714E-4,2.1341888922129344E-5,9.755436051850854E-5,1.1508133736678714E-4,1.9055308130040935E-5,9.526818095450353E-5,1.1508133736678714E-4,2.8963737948886873E-5,9.98405280478465E-5,2.4390644584502038E-5,9.831641769886444E-5,3.506112086237302E-5,1.0136463304824039E-4,1.1508133736678714E-4,2.972591549471046E-5,9.98405280478465E-5,1.1431930960341542E-4,1.0671075557659753E-5,8.917164328010761E-5,4.5733502022824615E-6,8.764749548918581E-5,8.231293609760135E-5
81,2.463072164971869E-5,4.702107465153656E-5,4.702107465153656E-5,3.022841812150349E-5,4.702107465153656E-5,3.022841812150349E-5,4.702107465153656E-5,3.3587001372941923E-5,4.702107465153656E-5,3.134794875791294E-5,4.702107465153656E-5,4.030408995697371E-5,4.8140562000484287E-5,3.582604244444665E-5,4.8140562000484287E-5,2.1272069134592103E-5,4.702107465153656E-5,2.1272069134592103E-5,4.590158441686221E-5,2.01525125240023E-5,4.590158441686221E-5,1.1196085622771254E-6,4.366259529017764E-5,4.926004646381667E-5,1.1196085622771254E-6,4.366259529017764E-5,4.926004646381667E-5,3.358817027932594E-6,4.590158441686221E-5,4.926004646381667E-5,3.358817027932594E-6,4.4782091296446334E-5,4.926004646381667E-5,1.119595573959847E-5,4.590158441686221E-5,7.837199323582928E-6,4.590158441686221E-5,1.5674257220946338E-5,4.590158441686221E-5,4.926004646381667E-5,1.3435112252666629E-5,4.590158441686221E-5,4.8140562000484287E-5,1.1196085622771254E-6,4.366259529017764E-5,1.1196085622771254E-6,4.2543096398234104E-5,4.1423594620504426E-5
82,8.26848021985819E-6,2.6458582595033027E-5,2.6458582595033027E-5,9.922157373324615E-6,2.6458582595033027E-5,8.26848021985819E-6,2.6458582595033027E-5,1.3229492790000876E-5,2.811219048704032E-5,9.922157373324615E-6,2.6458582595033027E-5,1.4883151053403045E-5,2.811219048704032E-5,1.4883151053403045E-5,2.811219048704032E-5,6.614796769607775E-6,2.6458582595033027E-5,6.614796769607775E-6,2.6458582595033027E-5,1.6537086378659148E-6,2.4804968406769192E-5,1.6537086378659148E-6,1.8190448690382358E-5,2.811219048704032E-5,1.6537086378659148E-6,1.8190448690382358E-5,2.811219048704032E-5,1.6537086378659148E-6,1.9844088064055402E-5,2.811219048704032E-5,1.6537086378659148E-6,1.8190448690382358E-5,2.811219048704032E-5,1.6537086378659148E-6,2.3151347922297298E-5,1.6537086378659148E-6,2.149772114137654E-5,1.6537086378659148E-6,2.3151347922297298E-5,2.811219048704032E-5,1.6537086378659148E-6,2.3151347922297298E-5,2.811219048704032E-5,0.0,1.8190448690382358E-5,0.0,1.8190448690382358E-5,1.8190448690382358E-5
83,2.3456467951266326E-5,5.41906118620769E-5,5.33818464659134E-5,2.709615115896039E-5,5.540375713244255E-5,2.5882926812283807E-5,5.4594993995362744E-5,3.154461143373129E-5,5.66168990140538E-5,2.9118184205152672E-5,5.5808138136141494E-5,3.4779826650564834E-5,5.904317261099242E-5,3.275781996422456E-5,5.904317261099242E-5,2.2243233436887554E-5,5.0146769819739554E-5,1.7390261486560192E-5,4.893360986455274E-5,1.536817383543118E-5,4.6507279787594054E-5,5.6620220523529155E-6,3.9228208222770824E-5,6.0256304326454066E-5,4.044308998354865E-6,3.841941496234808E-5,6.06606808118685E-5,7.279729080518527E-6,4.1250184784297286E-5,5.9851927464519776E-5,6.066449374290248E-6,4.003699997706473E-5,5.9851927464519776E-5,1.0515125059531998E-5,4.327215193190709E-5,9.301854391942955E-6,4.205897277295616E-5,1.294165622626761E-5,4.610289012356757E-5,6.146943265323704E-5,1.132397028816202E-5,4.488971887212255E-5,5.904317261099242E-5,2.831020253352676E-6,3.7206222247432896E-5,1.6177281187755496E-6,3.599302614347932E-5,3.599302614347932E-5
84,1.935325881178679E-5,3.096480014592674E-5,3.096480014592674E-5,2.167559191494387E-5,3.3287071158973335E-5,2.090148226037662E-5,3.3287071158973335E-5,2.399791259989038E-5,3.560932975428054E-5,2.167559191494387E-5,3.4061158737140624E-5,2.554611949079658E-5,3.715749525252705E-5,2.399791259989038E-5,3.715749525252705E-5,1.8579145017754366E-5,3.096480014592674E-5,1.7030913290189905E-5,3.019070704877751E-5,1.4708555350020398E-5,3.019070704877751E-5,2.3224365942137915E-6,2.7868419478763467E-5,3.715749525252705E-5,2.3224365942137915E-6,2.70943208625536E-5,3.715749525252705E-5,4.644860769110194E-6,2.8642516715200796E-5,3.715749525252705E-5,4.644860769110194E-6,2.8642516715200796E-5,3.715749525252705E-5,6.967272524629171E-6,2.8642516715200796E-5,6.193136652701423E-6,2.8642516715200796E-5,1.4708555350020398E-5,2.9416612571870505E-5,3.715749525252705E-5,1.0063802213335833E-5,2.9416612571870505E-5,3.715749525252705E-5,7.741469113476655E-7,2.70943208625536E-5,7.741469113476655E-7,2.70943208625536E-5,2.554611949079658E-5
85,1.589193500402601E-5,2.5426816881379634E-5,2.5426816881379634E-5,1.7798928126523595E-5,2.5426816881379634E-5,1.652760030866032E-5,2.5426816881379634E-5,2.0977231389428898E-5,2.5426816881379634E-5,1.9705912875521E-5,2.5426816881379634E-5,2.22485461818892E-5,2.5426816881379634E-5,2.22485461818892E-5,2.5426816881379634E-5,1.398493350785828E-5,2.5426816881379634E-5,1.398493350785828E-5,2.5426816881379634E-5,1.3349264481672881E-5,2.5426816881379634E-5,4.449800419297118E-6,2.4791164602264897E-5,2.7969416694389276E-5,2.5427486795641675E-6,2.351985725282727E-5,2.7969416694389276E-5,5.721163593529249E-6,2.4791164602264897E-5,2.5426816881379634E-5,5.721163593529249E-6,2.4791164602264897E-5,2.6062468230223862E-5,8.89955524620999E-6,2.5426816881379634E-5,7.628201376450738E-6,2.5426816881379634E-5,1.0170905394121793E-5,2.5426816881379634E-5,2.7969416694389276E-5,9.535230785383406E-6,2.5426816881379634E-5,2.5426816881379634E-5,1.2713762007229651E-6,2.351985725282727E-5,1.2713762007229651E-6,2.351985725282727E-5,2.22485461818892E-5
86,2.8793278609583196E-5,4.2692798873601654E-5,4.2692798873601654E-5,2.97861162384425E-5,4.2692798873601654E-5,2.8793278609583196E-5,4.2692798873601654E-5,3.077895159758772E-5,4.2692798873601654E-5,2.97861162384425E-5,4.2692798873601654E-5,3.4750270337331674E-5,4.4678408311645645E-5,3.177178468702922E-5,4.3685604727408054E-5,2.8793278609583196E-5,4.2692798873601654E-5,2.482190539670112E-5,4.2692798873601654E-5,2.3829056419115712E-5,4.2692798873601654E-5,2.97870355521234E-6,3.97143676945694E-5,4.4678408311645645E-5,2.97870355521234E-6,3.97143676945694E-5,4.5671209626324807E-5,3.9716002003770975E-6,4.169999075021607E-5,4.4678408311645645E-5,3.9716002003770975E-6,4.070718035714449E-5,4.4678408311645645E-5,1.1914691642470584E-5,4.2692798873601654E-5,6.950276515720024E-6,4.169999075021607E-5,1.7871914887840158E-5,4.2692798873601654E-5,4.5671209626324807E-5,1.4893313479569286E-5,4.2692798873601654E-5,4.4678408311645645E-5,9.929034550823866E-7,3.97143676945694E-5,9.929034550823866E-7,3.673591608914073E-5,3.574309434806212E-5
87,1.8740693214665395E-5,3.162445070711142E-5,3.162445070711142E-5,2.2254483163313074E-5,3.2795682435949195E-5,2.1083223005849272E-5,3.2795682435949195E-5,2.459699400168387E-5,3.2795682435949195E-5,2.342574016188678E-5,3.2795682435949195E-5,2.6939492205016325E-5,3.2795682435949195E-5,2.459699400168387E-5,3.2795682435949195E-5,1.6398150788102414E-5,3.162445070711142E-5,1.6398150788102414E-5,3.162445070711142E-5,1.5226874836511162E-5,3.162445070711142E-5,2.3426308780334745E-6,3.162445070711142E-5,3.2795682435949195E-5,2.3426308780334745E-6,3.162445070711142E-5,3.2795682435949195E-5,5.856553502001329E-6,3.162445070711142E-5,3.2795682435949195E-5,3.5139415784167E-6,3.162445070711142E-5,3.2795682435949195E-5,7.027854725236813E-6,3.162445070711142E-5,7.027854725236813E-6,3.162445070711142E-5,8.19915278955356E-6,3.162445070711142E-5,3.3966911006146645E-5,7.027854725236813E-6,3.162445070711142E-5,3.2795682435949195E-5,2.3426308780334745E-6,2.9281977773446742E-5,1.1713170185669215E-6,2.9281977773446742E-5,2.6939492205016325E-5
