dep,2020-04-01,2020-04-23,2020-04-22,2020-04-03,2020-04-25,2020-04-02,2020-04-24,2020-04-05,2020-04-27,2020-04-04,2020-04-26,2020-04-07,2020-04-29,2020-04-06,2020-04-28,2020-03-31,2020-04-21,2020-03-30,2020-04-20,2020-03-29,2020-04-19,2020-03-22,2020-04-12,2020-05-03,2020-03-21,2020-04-11,2020-05-04,2020-03-24,2020-04-14,2020-05-01,2020-03-23,2020-04-13,2020-05-02,2020-03-26,2020-04-16,2020-03-25,2020-04-15,2020-03-28,2020-04-18,2020-05-05,2020-03-27,2020-04-17,2020-04-30,2020-03-20,2020-04-10,2020-03-19,2020-04-09,2020-04-08
11,2.13188406501163E-4,4.0764610551993974E-4,4.064819472483568E-4,2.574439188047814E-4,4.169592593518035E-4,2.492919264380258E-4,4.134668500688486E-4,2.760764696355507E-4,4.216157613758817E-4,2.6676029414428575E-4,4.1812338953846155E-4,2.9936603408388157E-4,4.309286156458766E-4,2.842279592591749E-4,4.309286156458766E-4,1.9338842770472844E-4,4.0531778585625E-4,1.7591710849700537E-4,3.925118045769751E-4,1.5378576179548615E-4,3.901834037743338E-4,4.194697231097392E-5,3.424484360958156E-4,4.518818076235241E-4,3.612124620660146E-5,3.22654349668348E-4,4.542098776642703E-4,6.408401882854776E-5,3.6224162039807294E-4,4.4489752262123457E-4,5.825858967003417E-5,3.5758448171798927E-4,4.460615779217371E-4,9.32099925837037E-5,3.703914929206282E-4,7.806473000743807E-5,3.6689870913815705E-4,1.3281818244041967E-4,3.8669077916397035E-4,4.5537390800482987E-4,1.0718976619226767E-4,3.7854121250728323E-4,4.390771993177507E-4,3.3790933883417E-5,3.145035812636616E-4,2.2139184705583642E-5,3.075170865898837E-4,3.0402379710564424E-4
12,1.0919956857480369E-4,2.682698019098175E-4,2.6359209714964433E-4,1.4351376298893164E-4,2.682698019098175E-4,1.232375212620363E-4,2.682698019098175E-4,1.6378905810747224E-4,2.682698019098175E-4,1.591102278631844E-4,2.682698019098175E-4,1.7938479488159426E-4,2.682698019098175E-4,1.7314656737787054E-4,2.682698019098175E-4,1.0296033283839205E-4,2.5891434200614775E-4,9.360131116440627E-5,2.5735507909522073E-4,7.800249350196014E-5,2.511179714680429E-4,1.716175065361361E-5,2.168122782906529E-4,2.698290256338865E-4,1.4041482794920321E-5,2.136934445330516E-4,2.698290256338865E-4,2.8082511619383052E-5,2.2304987861397114E-4,2.698290256338865E-4,1.8721876176152386E-5,2.2149048693194227E-4,2.698290256338865E-4,4.5243152611282356E-5,2.292873893503832E-4,3.276275368365237E-5,2.2772802006483964E-4,7.488266273562554E-5,2.4955868056522824E-4,2.698290256338865E-4,5.460321644756114E-5,2.3708415179320776E-4,2.698290256338865E-4,1.2481340458781702E-5,2.0121788552270633E-4,6.240715067589969E-6,1.9030147740283849E-4,1.8406340670603996E-4
13,3.040857348574539E-4,7.339236686357115E-4,7.190058676242721E-4,3.6082483131866293E-4,7.622660789204017E-4,3.2669693990960497E-4,7.509719566489895E-4,3.98149142032303E-4,7.81444104294059E-4,3.817268405106326E-4,7.6908502941267E-4,4.442135829123369E-4,8.061611989698354E-4,4.299255985025973E-4,7.929505130274517E-4,2.7400674128424095E-4,6.944969392022494E-4,2.3859192255828627E-4,6.719048757631394E-4,2.0914848922794544E-4,6.540008964362018E-4,5.272345059852383E-5,5.446427157094865E-4,8.30876886996376E-4,4.2478098902874066E-5,5.265202795401216E-4,8.376947603092266E-4,8.98608245345378E-5,5.738502271298976E-4,8.191584171620376E-4,6.97984996740267E-5,5.533838557488425E-4,8.264025994669484E-4,1.314765219459918E-4,6.103035622347495E-4,1.0693441358028843E-4,5.921838658408663E-4,1.837572590181506E-4,6.484590389594866E-4,8.430211493628671E-4,1.6049844293212768E-4,6.356698671858974E-4,8.123402528435823E-4,2.903070799936641E-5,5.164993136766019E-4,1.963863247105393E-5,4.894202280403907E-4,4.7342784902496677E-4
14,1.0173860777644908E-4,2.3233102018164787E-4,2.3107551086891482E-4,1.2120439036015368E-4,2.3986399983844464E-4,1.1429727705339641E-4,2.3923625652424172E-4,1.375298578676761E-4,2.4111948374477544E-4,1.2811139381643512E-4,2.4049174224528833E-4,1.595054796891547E-4,2.517909504128471E-4,1.5008749221217052E-4,2.455136488353247E-4,8.603976046344071E-5,2.2919224009419458E-4,7.913208786381536E-5,2.2228684404968513E-4,7.473623900364778E-5,2.204035351633991E-4,1.318968263787499E-5,1.921529217941478E-4,2.586958773539995E-4,6.908931340119912E-6,1.865025785912095E-4,2.593235925412865E-4,2.3238695787507373E-5,1.9780319148483981E-4,2.555572878084005E-4,2.0098404156072273E-5,1.934085436338325E-4,2.5806816125943194E-4,4.019587823549502E-5,2.0533677005671742E-4,3.454355765245849E-5,2.0345338766519823E-4,6.468841738376296E-5,2.1475355950256527E-4,2.656006945142082E-4,5.0244266523314054E-5,2.0973129720766587E-4,2.517909504128471E-4,2.5123513860543367E-6,1.8022433325642955E-4,1.884264902074629E-6,1.7206247863333062E-4,1.6766757030170948E-4
15,4.56132590283185E-5,1.5810548603224518E-4,1.550655386569757E-4,7.905993783029377E-5,1.5810548603224518E-4,6.993837179266012E-5,1.5810548603224518E-4,8.81813122899433E-5,1.763447234421977E-4,8.210041726951271E-5,1.5810548603224518E-4,9.426212216822253E-5,1.8546405490498834E-4,9.426212216822253E-5,1.8546405490498834E-4,4.2572524132242977E-5,1.520255700026272E-4,3.345019170257678E-5,1.4290553636289984E-4,2.4327667654875917E-5,1.3986548258973822E-4,9.123035068741641E-6,1.0946377438260641E-4,1.8850378950681468E-4,9.123035068741641E-6,1.064234865077673E-4,1.9154350283303125E-4,1.520495198099378E-5,1.1554428628203455E-4,1.8546405490498834E-4,9.123035068741641E-6,1.1250404097389736E-4,1.8850378950681468E-4,1.8245878497883883E-5,1.2162471305013593E-4,1.8245878497883883E-5,1.1858451030741235E-4,2.4327667654875917E-5,1.2466489451069606E-4,1.9762286565934453E-4,2.1286783722476157E-5,1.2466489451069606E-4,1.8546405490498834E-4,6.082044672879658E-6,1.064234865077673E-4,3.041032983334224E-6,1.064234865077673E-4,1.0034284690663821E-4
16,8.97982941864467E-5,1.1473897000084329E-4,1.1473897000084329E-4,9.977473638808527E-5,1.1473897000084329E-4,9.478654393412979E-5,1.1473897000084329E-4,1.0476287154972566E-4,1.1473897000084329E-4,1.0102177554960755E-4,1.1473897000084329E-4,1.0476287154972566E-4,1.1473897000084329E-4,1.0476287154972566E-4,1.1473897000084329E-4,8.231581213635189E-5,1.1473897000084329E-4,7.73274191485915E-5,1.1473897000084329E-4,6.984472223211446E-5,1.1473897000084329E-4,8.731204590144076E-6,1.1099795993613458E-4,1.1598596619456444E-4,4.989281259886027E-6,1.0975094942017419E-4,1.172329588078736E-4,2.120404951289253E-5,1.1099795993613458E-4,1.1598596619456444E-4,1.122580223229269E-5,1.1099795993613458E-4,1.1598596619456444E-4,4.240706380709419E-5,1.1099795993613458E-4,3.617099058849323E-5,1.1099795993613458E-4,5.737327420094676E-5,1.1224496687160072E-4,1.172329588078736E-4,5.4878941617729405E-5,1.1224496687160072E-4,1.1473897000084329E-4,2.4946477947516996E-6,1.0975094942017419E-4,1.2473256885762561E-6,1.0850393532350619E-4,1.0850393532350619E-4
17,9.328127923556827E-5,1.992889117037119E-4,1.9593463622716458E-4,1.073723923890112E-4,1.992889117037119E-4,9.999139013861167E-5,1.992889117037119E-4,1.1743719330189263E-4,2.0197231343230203E-4,1.1274031523615492E-4,1.992889117037119E-4,1.3286943502116861E-4,2.0197231343230203E-4,1.2146304835721245E-4,2.0197231343230203E-4,8.120281834225496E-5,1.952637780230324E-4,7.516346192238603E-5,1.9325119719283652E-4,6.37555595379994E-5,1.9123860703611524E-4,6.711552298556454E-6,1.657449910764178E-4,2.039848538480394E-4,5.369250136422334E-6,1.6037772333639207E-4,2.039848538480394E-4,1.812095317459897E-5,1.7916287023169683E-4,2.0331400807903797E-4,8.724997762901302E-6,1.704412959366143E-4,2.039848538480394E-4,4.362323606394281E-5,1.8520078060525999E-4,2.4832225441395744E-5,1.8385902999887987E-4,5.637381595907821E-5,1.9123860703611524E-4,2.039848538480394E-4,4.966303109923483E-5,1.8721339874236523E-4,2.0331400807903797E-4,2.6846333657721276E-6,1.5568130965038296E-4,1.342318757301181E-6,1.5232669735200873E-4,1.4763019660189163E-4
18,8.057914416383464E-5,3.1490622690945785E-4,3.10513756992077E-4,1.0401754274491366E-4,3.266192628352674E-4,8.936869186810763E-5,3.207627843602703E-4,1.2306031022162674E-4,3.412601135170759E-4,1.1280661610450248E-4,3.3247566233648274E-4,1.5674931505565284E-4,3.646844480318486E-4,1.4356697221519924E-4,3.500443870186404E-4,7.325438518720689E-5,3.03192875071385E-4,5.86044966079007E-5,2.7976522359066764E-4,3.516364694005635E-5,2.7830095341063233E-4,0.0,2.109391877370571E-4,3.7493219710685067E-4,0.0,2.08010178292256E-4,3.7786008100058405E-4,4.3956115717108525E-6,2.2411948578688928E-4,3.7200429347406406E-4,0.0,2.2119056523283733E-4,3.7200429347406406E-4,1.6117024931708545E-5,2.3583497047780102E-4,1.1721531994582738E-5,2.3144170075405307E-4,3.2233451769483396E-5,2.6951522865329276E-4,3.924992043929605E-4,2.3442747635511992E-5,2.6512229962341875E-4,3.6907637010186173E-4,0.0,1.9629394296835075E-4,0.0,1.7725438640978346E-4,1.6260800566161626E-4
19,9.756868620139269E-5,2.7999944689773156E-4,2.7638770019803433E-4,1.13828003022569E-4,2.9083450678093326E-4,1.0118192032334481E-4,2.890286822392388E-4,1.2647371749535742E-4,3.0528083280677553E-4,1.2466720940001517E-4,2.9264032381402013E-4,1.445383851671864E-4,3.125038156207909E-4,1.355061452572827E-4,3.070865897724782E-4,8.853546937604682E-5,2.745818155843634E-4,8.492213003644773E-5,2.6555227987605837E-4,7.227520559595028E-5,2.5110463224127814E-4,9.035058509572376E-6,1.9150300482826933E-4,3.323663989651332E-4,7.2280618447788624E-6,1.8608426944160918E-4,3.3597768015808594E-4,2.710461165234329E-5,2.0595263532967602E-4,3.2514374649151206E-4,1.4456003393282498E-5,1.9692167260567344E-4,3.2514374649151206E-4,3.7945982678208726E-5,2.2401399741270623E-4,3.433222240673561E-5,2.131772702990272E-4,6.324146265172872E-5,2.420746083941455E-4,3.377833094938645E-4,3.7945982678208726E-5,2.2762617969511456E-4,3.2514374649151206E-4,1.8070267392377161E-6,1.698276576094132E-4,1.8070267392377161E-6,1.6260230146266478E-4,1.535704372330749E-4
21,3.918313195193123E-4,8.95560290977597E-4,8.874271461294004E-4,4.69178253076423E-4,9.175190213019732E-4,4.463826938164714E-4,9.06133151579577E-4,5.302318926700358E-4,9.321575580570002E-4,5.12323714618301E-4,9.183322862885437E-4,5.937185743213299E-4,9.459823897277322E-4,5.562788335082438E-4,9.362237307026204E-4,3.470452188726649E-4,8.801071855375087E-4,3.2098572578617555E-4,8.662802566787639E-4,3.095842058385496E-4,8.581465634722848E-4,8.882435974089063E-5,7.182231920382406E-4,9.72004408483987E-4,5.460061102260455E-5,6.90558583654018E-4,9.744438928056136E-4,1.4015492659208976E-4,7.466996247478165E-4,9.687517414060858E-4,1.0593522280168462E-4,7.288003707252224E-4,9.72004408483987E-4,2.2406326395090498E-4,8.085277358902381E-4,2.0206944232769615E-4,7.800553570578174E-4,2.737489086489064E-4,8.45945738032807E-4,9.793228203406213E-4,2.313942903155984E-4,8.304908670709611E-4,9.598067813285658E-4,5.2970841430197344E-5,6.807941834669608E-4,2.118911187999818E-5,6.213893519165442E-4,6.140649058907847E-4
